source_url,anchor_text,target_url,final_url,http_status,scope,classification,merchant,affiliate_program,affiliate_tracking_present,amazon_tag,rel,note,checked_at
"https://www.printlog3d.com/","Conductive PLA 195-220 °C nozzle · 50-60 °C bed No enclosure","https://www.printlog3d.com/library/conductive-pla","https://www.printlog3d.com/library/conductive-pla","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Glow PLA 200-225 °C nozzle · 50-60 °C bed No enclosure","https://www.printlog3d.com/library/glow-pla","https://www.printlog3d.com/library/glow-pla","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Magnetic PLA 195-225 °C nozzle · 50-60 °C bed No enclosure","https://www.printlog3d.com/library/magnetic-pla","https://www.printlog3d.com/library/magnetic-pla","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PC 260-310 °C nozzle · 100-120 °C bed Enclosure · dry first","https://www.printlog3d.com/library/pc","https://www.printlog3d.com/library/pc","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Nylon PA6 230-260 °C nozzle · 70-90 °C bed Enclosure · dry first","https://www.printlog3d.com/library/nylon-pa6","https://www.printlog3d.com/library/nylon-pa6","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","Nylon PA12 240-270 °C nozzle · 70-90 °C bed Enclosure · dry first","https://www.printlog3d.com/library/nylon-pa12","https://www.printlog3d.com/library/nylon-pa12","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PA-CF 260-280 °C nozzle · 80-100 °C bed Enclosure · dry first","https://www.printlog3d.com/library/pa-cf","https://www.printlog3d.com/library/pa-cf","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","TPE 210-240 °C nozzle · 30-50 °C bed No enclosure · dry first","https://www.printlog3d.com/library/tpe","https://www.printlog3d.com/library/tpe","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PP 220-250 °C nozzle · 85-100 °C bed No enclosure","https://www.printlog3d.com/library/pp","https://www.printlog3d.com/library/pp","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
"https://www.printlog3d.com/","PA-GF 250-280 °C nozzle · 80-100 °C bed Enclosure · dry first","https://www.printlog3d.com/library/pa-gf","https://www.printlog3d.com/library/pa-gf","200","internal","internal","","","false","","","","2026-08-31T09:33:58.401Z"
